id,choices,response,nextquestion,phase2_id,context_id,phase,choices_en,response_en,nextquestion_en
1,よりリアルなことを知るために、机上から抜け出す,いろいろ教えてくれてありがとう。,君にぴったりのパターンを紹介するよ！,1,1,3,Be more realistic.,Thanks for sharing your thoughts :),I'll show you perfect patterns for you!
2,引き出しを増やす,いろいろ教えてくれてありがとう。,君にぴったりのパターンを見つけたよ！,1,2,3,Increase my knowledge.,Thanks for sharing your thoughts :),I found perfect patterns just for you!
3,意外なことから発想を取り入れる,いろいろ教えてくれてありがとう。,君にぴったりのパターンを紹介するよ！,1,3,3,Get ideas in unexpected ways.,Thanks for sharing your thoughts :),I'll show you perfect patterns for you!
4,新しい見方をする,いろいろ教えてくれてありがとう。,君にぴったりのパターンを見つけたよ！,1,4,3,Get a new way of looking at things.,Thanks for sharing your thoughts :),I found perfect patterns just for you!
5,自分を見直してみる,いろいろ教えてくれてありがとう。,君にぴったりのパターンを紹介するよ！,1,5,3,Reflect myself.,Thanks for sharing your thoughts :),I'll show you perfect patterns for you!
6,広い視野で見てみる,いろいろ教えてくれてありがとう。,君にぴったりのパターンを見つけたよ！,2,6,3,Look at things from large point of view.,Thanks for sharing your thoughts :),I found perfect patterns just for you!
7,進め方を検討してみる,いろいろ教えてくれてありがとう。,君にぴったりのパターンを紹介するよ！,2,7,3,Consider a way to advance.,Thanks for sharing your thoughts :),I'll show you perfect patterns for you!
8,とりあえず動いてみる,いろいろ教えてくれてありがとう。,君にぴったりのパターンを見つけたよ！,2,8,3,Just take a first step for action.,Thanks for sharing your thoughts :),I found perfect patterns just for you!
9,全員参加で勢いにのる,実現できるようにがんばろう！,具体的にはどうしたい？,3,,3,Gain momentum as a team.,Nice! Let's achieve it then!,Can you think of any specific actions?
10,ほかの人を巻き込んでみる,実現できるようにがんばろう！,具体的にはどうしたい？,3,,3,Attract others to join our action.,Nice! Let's achieve it then!,Can you think of any specific actions?
11,学びを深める,実現できるようにがんばろう！,具体的にはどうしたい？,4,,3,Deepen my knowledge.,Nice! Let's achieve it then!,Can you think of any specific actions?
12,このまま加速する！,実現できるようにがんばろう！,具体的にはどうしたい？,4,,3,Keep up and accelerate the speed!,Nice! Let's achieve it then!,Can you think of any specific actions?
13,ワンアンドオンリーになる！,実現できるようにがんばろう！,具体的にはどうしたい？,5,,3,Become one and only!,Nice! Let's achieve it then!,Can you think of any specific actions?
14,さらにパワーアップする！,実現できるようにがんばろう！,具体的にはどうしたい？,5,,3,Powerup!!!,Nice! Let's achieve it then!,Can you think of any specific actions?
15,プロジェクトをもっとうまくやる,実現できるようにがんばろう！,具体的にはどうしたい？,6,,3,Run the project more smoothly.,Nice! Let's achieve it then!,Can you think of any specific actions?
16,ひとりひとりの力をかけ合わせる！,実現できるようにがんばろう！,具体的にはどうしたい？,6,,3,Ignite the strenghts of each member.,Nice! Let's achieve it then!,Can you think of any specific actions?
